,Team,season,Win Avg,homeWin Avg,homeLoss Avg,awayWin Avg,awayLoss Avg,own_score@home,other_score@home,own_score@away,other_score@away,stadium_latitude,stadium_longitude
156,LAC,2017,0.5625,0.625,0.375,0.5,0.5,25.625,15.75,18.75,18.25,33.864000000000004,-118.26100000000001
157,LAC,2018,0.75,0.625,0.375,0.875,0.125,25.75,21.25,27.75,19.875,33.864000000000004,-118.26100000000001
158,MIA,2009,0.4375,0.5,0.5,0.375,0.625,27.125,26.375,17.875,22.375,25.927231,-80.228477
159,MIA,2010,0.4375,0.125,0.875,0.75,0.25,17.375,24.0,16.75,17.625,25.927231,-80.228477
160,MIA,2011,0.375,0.5,0.5,0.25,0.75,21.25,19.125,19.875,20.0,25.927231,-80.228477
161,MIA,2012,0.4375,0.625,0.375,0.25,0.75,20.375,18.0,15.625,21.625,25.927231,-80.228477
162,MIA,2013,0.5,0.5,0.5,0.5,0.5,20.0,21.0,19.625,20.875,25.927231,-80.228477
163,MIA,2014,0.5,0.5,0.5,0.5,0.5,25.625,23.75,22.875,22.875,25.927231,-80.228477
164,MIA,2015,0.375,0.375,0.625,0.375,0.625,19.625,23.75,19.125,24.875,25.927231,-80.228477
165,MIA,2016,0.625,0.75,0.25,0.5,0.5,25.375,24.875,20.0,22.625,25.927231,-80.228477
166,MIA,2017,0.375,0.5,0.5,0.25,0.75,21.125,20.75,14.0,28.375,25.927231,-80.228477
167,MIA,2018,0.4375,0.75,0.25,0.125,0.875,22.75,21.625,17.125,32.5,25.927231,-80.228477
168,MIN,2009,0.75,1.0,0.0,0.5,0.5,32.75,15.5,26.0,23.5,44.977489,-93.264374
169,MIN,2010,0.375,0.5,0.5,0.25,0.75,17.875,21.875,17.25,21.625,44.977489,-93.264374
170,MIN,2011,0.1875,0.125,0.875,0.25,0.75,23.75,26.75,18.75,29.375,44.977489,-93.264374
171,MIN,2012,0.625,0.875,0.125,0.375,0.625,26.25,20.625,21.125,22.875,44.977489,-93.264374
172,MIN,2013,0.3125,0.625,0.375,0.0,0.875,27.625,28.375,21.25,31.625,44.977489,-93.264374
173,MIN,2014,0.4375,0.625,0.375,0.25,0.75,21.875,21.375,18.75,21.5,44.977489,-93.264374
174,MIN,2015,0.6875,0.75,0.25,0.625,0.375,25.125,20.0,20.5,17.75,44.977489,-93.264374
175,MIN,2016,0.5,0.625,0.375,0.375,0.625,22.125,18.0,18.75,20.375,44.977489,-93.264374
176,MIN,2017,0.8125,0.875,0.125,0.75,0.25,24.75,12.5,23.0,19.0,44.977489,-93.264374
177,MIN,2018,0.5,0.625,0.375,0.375,0.5,22.0,19.625,23.0,23.0,44.977489,-93.264374
178,NE,2009,0.625,1.0,0.0,0.25,0.75,31.25,12.875,22.125,22.75,42.091879999999996,-71.26491
179,NE,2010,0.875,1.0,0.0,0.75,0.25,34.0,19.625,30.75,19.5,42.091879999999996,-71.26491
180,NE,2011,0.8125,0.875,0.125,0.75,0.25,30.75,19.25,33.375,23.5,42.091879999999996,-71.26491
181,NE,2012,0.75,0.75,0.25,0.75,0.25,34.75,22.125,34.875,19.25,42.091879999999996,-71.26491
182,NE,2013,0.75,1.0,0.0,0.5,0.5,30.375,20.625,25.125,21.625,42.091879999999996,-71.26491
183,NE,2014,0.75,0.875,0.125,0.625,0.375,33.0,16.75,25.5,22.375,42.091879999999996,-71.26491
184,NE,2015,0.75,0.875,0.125,0.625,0.375,31.625,17.75,26.5,21.625,42.091879999999996,-71.26491
185,NE,2016,0.875,0.75,0.25,1.0,0.0,26.75,15.5,28.375,15.75,42.091879999999996,-71.26491
186,NE,2017,0.8125,0.75,0.25,0.875,0.125,29.375,20.875,27.875,16.125,42.091879999999996,-71.26491
187,NE,2018,0.6875,1.0,0.0,0.375,0.625,32.875,16.625,21.625,24.0,42.091879999999996,-71.26491
188,NO,2009,0.8125,0.75,0.25,0.875,0.125,31.75,21.5,32.0,21.125,29.951065000000003,-90.071533
189,NO,2010,0.6875,0.625,0.375,0.75,0.25,21.125,18.125,26.875,20.25,29.951065000000003,-90.071533
190,NO,2011,0.8125,1.0,0.0,0.625,0.375,41.125,17.875,27.25,24.5,29.951065000000003,-90.071533
191,NO,2012,0.4375,0.5,0.5,0.375,0.625,30.75,25.75,26.875,31.0,29.951065000000003,-90.071533
192,NO,2013,0.6875,1.0,0.0,0.375,0.625,34.0,15.625,17.75,22.375,29.951065000000003,-90.071533
193,NO,2014,0.4375,0.375,0.625,0.5,0.5,23.25,27.75,26.875,25.25,29.951065000000003,-90.071533
194,NO,2015,0.4375,0.5,0.5,0.375,0.625,32.375,31.625,18.625,27.875,29.951065000000003,-90.071533
195,NO,2016,0.4375,0.5,0.5,0.375,0.625,31.0,29.5,27.625,27.25,29.951065000000003,-90.071533
196,NO,2017,0.6875,0.875,0.125,0.5,0.5,30.125,22.5,25.875,18.25,29.951065000000003,-90.071533
